Environment,Map,AgentCount,Algorithm,Outcome,DurationMean,ReplanMean,RecovMean,CellsMean
dynamic,Alpha32,6,PIBT_TCP,EagleDestroyed,38.1,461,3.0,100
dynamic,Alpha32,12,AStar,EagleDestroyed,43.4,505,18.2,131
dynamic,Alpha32,12,PIBT,EagleDestroyed,42.3,526,127.2,102
dynamic,Alpha32,12,PIBT_TCP,EagleDestroyed,44.5,1076,9.0,208
dynamic,Alpha32,24,AStar,EagleDestroyed,49.2,1381,55.2,274
dynamic,Alpha32,24,PIBT,EagleDestroyed,47.9,1488,385.8,213
dynamic,Alpha32,24,PIBT_TCP,EagleDestroyed,50.4,2438,27.7,434
dynamic,Alpha32,36,AStar,EagleDestroyed,52.9,2486,105.7,421
dynamic,Alpha32,36,PIBT,EagleDestroyed,51.6,2734,738.2,327
dynamic,Alpha32,36,PIBT_TCP,EagleDestroyed,54.2,3933,52.7,668
dynamic,Alpha32,72,AStar,EagleDestroyed,59.9,6792,319.5,878
dynamic,Alpha32,72,PIBT,EagleDestroyed,58.4,7732,2238.3,683
dynamic,Alpha32,72,PIBT_TCP,EagleDestroyed,61.4,8912,159.8,1393
dynamic,Mansion,6,AStar,EagleDestroyed,109.4,770,7.8,296
dynamic,Mansion,6,PIBT,EagleDestroyed,148.9,3255,325.8,244
dynamic,Mansion,6,PIBT_TCP,EagleDestroyed,122.8,1085,16.0,457
dynamic,Mansion,12,AStar,EagleDestroyed,123.9,2104,24.2,617
dynamic,Mansion,12,PIBT,EagleDestroyed,168.7,9206,988.2,509
dynamic,Mansion,12,PIBT_TCP,EagleDestroyed,143.2,2532,48.5,953
dynamic,Mansion,24,AStar,EagleDestroyed,140.4,5748,73.5,1287
dynamic,Mansion,24,PIBT,EagleDestroyed,174.0,26040,2995.8,1061
dynamic,Mansion,24,PIBT_TCP,EagleDestroyed,162.3,5737,147.3,1987
dynamic,Mansion,36,AStar,EagleDestroyed,151.0,10347,140.5,1978
dynamic,Mansion,36,PIBT,EagleDestroyed,176.7,47838,5731.5,1630
dynamic,Mansion,36,PIBT_TCP,Timeout,180.0,9546,281.3,3053
dynamic,Mansion,72,AStar,Timeout,180.0,28268,426.5,4123
dynamic,Mansion,72,PIBT,Timeout,180.0,135308,17374.3,3399
dynamic,Mansion,72,PIBT_TCP,Timeout,180.0,19092,852.5,6366
dynamic,Chantry,6,AStar,EagleDestroyed,160.4,1183,16.8,452
dynamic,Chantry,6,PIBT,EagleDestroyed,146.6,4700,364.0,388
dynamic,Chantry,6,PIBT_TCP,EagleDestroyed,174.4,1695,45.0,626
dynamic,Chantry,12,AStar,EagleDestroyed,179.0,3586,59.2,969
dynamic,Chantry,12,PIBT,EagleDestroyed,170.8,15270,1267.3,832
dynamic,Chantry,12,PIBT_TCP,EagleDestroyed,177.8,3486,156.7,1342
dynamic,Chantry,24,AStar,EagleDestroyed,179.1,10871,206.2,2077
dynamic,Chantry,24,PIBT,EagleDestroyed,179.1,49613,4413.8,1783
dynamic,Chantry,24,PIBT_TCP,Timeout,180.0,6992,545.7,2876
dynamic,Chantry,36,AStar,Timeout,180.0,20798,427.8,3244
dynamic,Chantry,36,PIBT,Timeout,180.0,98845,9157.5,2785
dynamic,Chantry,36,PIBT_TCP,Timeout,180.0,10488,1131.8,4493
dynamic,Chantry,72,AStar,Timeout,180.0,63048,1489.3,6954
dynamic,Chantry,72,PIBT,Timeout,180.0,321149,31888.2,5970
dynamic,Chantry,72,PIBT_TCP,Timeout,180.0,20975,3942.3,9631
dynamic,Gallows,6,AStar,EagleDestroyed,129.7,1256,12.0,332
dynamic,Gallows,6,PIBT,EagleDestroyed,158.8,4211,362.2,252
dynamic,Gallows,6,PIBT_TCP,EagleDestroyed,145.3,1324,31.0,523
dynamic,Gallows,12,AStar,EagleDestroyed,151.0,3807,41.8,712
dynamic,Gallows,12,PIBT,EagleDestroyed,178.7,13682,1260.7,540
dynamic,Gallows,12,PIBT_TCP,EagleDestroyed,174.3,3177,108.0,1121
dynamic,Gallows,24,AStar,EagleDestroyed,175.9,11542,145.5,1525
dynamic,Gallows,24,PIBT,EagleDestroyed,178.6,44452,4389.3,1158
dynamic,Gallows,24,PIBT_TCP,Timeout,180.0,6560,375.7,2403
dynamic,Gallows,36,AStar,Timeout,180.0,22081,302.0,2383
dynamic,Gallows,36,PIBT,Timeout,180.0,88561,9107.2,1809
dynamic,Gallows,36,PIBT_TCP,Timeout,180.0,9839,779.8,3754
dynamic,Gallows,72,AStar,Timeout,180.0,66939,1051.3,5108
dynamic,Gallows,72,PIBT,Timeout,180.0,287736,31712.8,3877
dynamic,Gallows,72,PIBT_TCP,Timeout,180.0,19678,2715.8,8046
dynamic,Maze128,6,AStar,Timeout,180.0,1462,16.2,580
dynamic,Maze128,6,PIBT,Timeout,180.0,1460,323.2,462
dynamic,Maze128,6,PIBT_TCP,Timeout,180.0,1608,28.2,836
dynamic,Maze128,12,AStar,Timeout,180.0,2924,48.3,1226
dynamic,Maze128,12,PIBT,Timeout,180.0,2920,979.2,977
dynamic,Maze128,12,PIBT_TCP,Timeout,180.0,3216,85.0,1768
dynamic,Maze128,24,AStar,Timeout,180.0,5848,147.2,2592
dynamic,Maze128,24,PIBT,Timeout,180.0,5840,2968.3,2065
dynamic,Maze128,24,PIBT_TCP,Timeout,180.0,6432,257.2,3736
dynamic,Maze128,36,AStar,Timeout,180.0,8772,281.3,4016
dynamic,Maze128,36,PIBT,Timeout,180.0,8760,5678.7,3199
dynamic,Maze128,36,PIBT_TCP,Timeout,180.0,9648,492.2,5789
dynamic,Maze128,72,AStar,Timeout,180.0,17544,852.7,8491
dynamic,Maze128,72,PIBT,Timeout,180.0,17520,17214.3,6763
dynamic,Maze128,72,PIBT_TCP,Timeout,180.0,19296,1492.2,12238
